annotated_by,category,question
mturk,COMPARISON,whats the difference between an ipod and a mp3 player?
mturk,COMPARISON,whtz the difference between crack n patch?
authors,DEBATE,Can Everybody Be Selfless?
authors,DEBATE,Can the Greek Gods Be “Killed”?
authors,DEBATE,Could letting kids fight help reduce bullying?
authors,DEBATE,Did a divine being create the universe?
authors,DEBATE,Do journalists have a moral obligation to display violent images?
authors,DEBATE,Do paywalls around academic publications slow scientific progress?
authors,DEBATE,Does buying things from third world countries condone a form of modern day slavery?
authors,DEBATE,How does allowing one million immigrants into the US a year help current citizens?
authors,DEBATE,"If there is nothing called MONEY, how will our world be?"
authors,DEBATE,Is Astrology a valid practice?
authors,DEBATE,Is Donald Trump a Good President?
authors,DEBATE,Is drug addiction rooted in pre-existing mental health problems?
authors,DEBATE,Is having police officers in schools a good idea?
authors,DEBATE,Is it ethical to dig up Egyptian sarcophagi?
authors,DEBATE,Is our government paying the salary of the teachers working in Christian schools?
authors,DEBATE,Is the USA a good country to live in?
authors,DEBATE,Politicians' Second Jobs: Should They be Allowed to Keep Them?
authors,DEBATE,Should Asylum-Seeking Parents Be Separated From Their Kids?
authors,DEBATE,Should Australia Limit Immigration to Achieve a Sustainable Population?
authors,DEBATE,Should Bitcoin Be Adopted As Legal Tender Worldwide?
authors,DEBATE,Should Colleges Use SAT Scores In Their Decision Of Who To Admit?
authors,DEBATE,Should Commercial Surrogacy be Legal in Liberal Democracies?
authors,DEBATE,Should Democrats Cooperate with Donald Trump?
authors,DEBATE,Should Incestuous Couples Have Marriage Equality?
authors,DEBATE,Should Internet Access Be A Basic Human Right?
authors,DEBATE,Should Japan apologise for the Nanking Massacre?
authors,DEBATE,Should Judges be Elected or Appointed?
authors,DEBATE,Should Mother Teresa have been canonized?
authors,DEBATE,Should Social Networks Force Users to Use Their Real Identity?
authors,DEBATE,Should Society Stop Using Facebook?
authors,DEBATE,Should The Date of Australia Day Be Changed?
authors,DEBATE,Should Transwomen be Allowed to Compete in Women's Sports?
authors,DEBATE,Should We Have Opt-Out Organ Donation?
authors,DEBATE,Should We Spend Spare Time in Self-Improvement or Helping Others?
authors,DEBATE,Should a license be required in order to have a child (procreate)?
authors,DEBATE,Should important elections be voted online using web browsers?
authors,DEBATE,Should indigenous lands be returned to Native populations?
authors,DEBATE,Should religion be allowed in the public spaces?
authors,DEBATE,Should religious conversion be easy?
authors,DEBATE,Should school be mandatory until 12th grade?
authors,DEBATE,Should sensitive social and political topics be discussed in school?
authors,DEBATE,Should single sex schools be banned?
authors,DEBATE,Should taxes pay for professional sports stadiums?
authors,DEBATE,Should the Universal Declaration of Human Rights be legally binding?
authors,DEBATE,Should the age of consent be lowered to fourteen?
authors,DEBATE,Should the ecological crisis we are facing become our collective and singular focus?
authors,DEBATE,Should the sale of semi-automatic rifles be banned?
authors,DEBATE,Should there be one World Government?
authors,DEBATE,Should there be restrictions on the release of hacking tools?
authors,DEBATE,Should unpaid internships be banned?
authors,DEBATE,Should vaccinations be mandatory?
authors,DEBATE,Should we replace meat with insect derived protein?
authors,DEBATE,What would be the most suitable job(s) for a remorseless high-functioning sociopath?
authors,DEBATE,Who are the good politicians from India?
authors,DEBATE,Will Radio Disappear As Cars Become Increasing Connected to the Internet?
authors,DEBATE,Will Sex Robots Liberate The Next Generation Of Women?
authors,DEBATE,Will my respect and grade be increased after clearing UGC NET?
authors,DEBATE,Would giving from rich countries and the world's richest people help end poverty?
authors,DEBATE,Would the world be a better place without humans?
authors,DEBATE,definition of all men are created equal
authors,DEBATE,how lame is it for a girl to go to a bar by herself?
authors,DEBATE,what we get if we know the meaning of life?
authors,DEBATE,will john kerry's comment affect the way you vote?
mturk,DEBATE,"According to liberals, why is it a ""sin"" to be?"
mturk,DEBATE,Any point in installing both 32 and 64 bit versions of Photoshop?
mturk,DEBATE,Are smartphones a boon or bane?
mturk,DEBATE,Are the dangers for astronauts of radiation in space worse than NASA has acknowledged?
mturk,DEBATE,As i scroll through the image sequence mask is not following the layer in the timeline?
mturk,DEBATE,Can you be friends with an ex?
mturk,DEBATE,Can you jailbreak an iOS 8.3?
mturk,DEBATE,Can you solve why my clone tool in photoshop CS5 won't clone at full opacity?
mturk,DEBATE,Could Martian Manhunter be in the Justice League movie?
mturk,DEBATE,Could someone define Christian for me?
mturk,DEBATE,Did Brahmins originate in North India or South India?
mturk,DEBATE,"Do You Dislike Cops, Why Or Why Not?"
mturk,DEBATE,Do women enjoy anal play?
mturk,DEBATE,"Do you believe in ghosts, why or why not?"
mturk,DEBATE,"Do you like carrots, potatoes,and beef of home made pot roast why or why not?"
mturk,DEBATE,"Does an unrecorded , notarized quit claim deed effect chain of title?"
mturk,DEBATE,Does anyone have advice on how to receive a new Drivers Liencese?
mturk,DEBATE,Does anyone know how to enable Norton?
mturk,DEBATE,How is the information required to produce proteins and enxymes stored within the DNA in our cells?
mturk,DEBATE,"I can't stop eating, what can i do?"
mturk,DEBATE,I want to now what the meaning of the name lazerith is?
mturk,DEBATE,Identity theft & felony: how to correct false information in the media?
mturk,DEBATE,"If Giuliani is such a hero, why didn't he protest when the administration lied that the site was safe?"
mturk,DEBATE,"If profits are good and liabilities are bad, why are they on the same side of the balance sheet?"
mturk,DEBATE,If water is made of hydrogen and oxygen why can't we just make water and solve the water crisis?
mturk,DEBATE,"If you burn mold, what is the smoke like?"
mturk,DEBATE,Illegal is the word-that is what it is when some break the law according to the  our laws?
mturk,DEBATE,In a clock store why is every clock set and stopped at 8:20?
mturk,DEBATE,"In addition, I wonder, why do people identify freedom of speech with the possibility to say EVERYTHING?"
mturk,DEBATE,"In the book ,To kill a mockingbird, How does Miss Caroline contradict herself about the use of imagination?"
mturk,DEBATE,Is Quora full of lonely and unemployed people?
mturk,DEBATE,Is The Diabetes Destroyer a scam just like Diabetes Free?
mturk,DEBATE,Is it justified for a country to spend millions on missiles when billions are still struggling in poverty?
mturk,DEBATE,Is it true that stroked open path in Photoshop is impossible?
mturk,DEBATE,Is there a difference between Advil and Motrin?
mturk,DEBATE,Is war the only way to find peace?
mturk,DEBATE,"Ladies  watches are smaller than that of male, why ?"
mturk,DEBATE,"Since many Americans don't want foreign military in their country, can they understand non-Americans not wanting US military in their countries?"
mturk,DEBATE,What Does Global Warming mean to you?
mturk,DEBATE,What EXACT Steps do I have to take to become a High School Psychology (or related) TEACHER?
mturk,DEBATE,What are the advantages and the disanvantages of traditional market?
mturk,DEBATE,What bible verse is about social responsibility?
mturk,DEBATE,What classes should i take in highschool to become an arcitect?
mturk,DEBATE,What companies are making money off of the world cup?
mturk,DEBATE,What did I do?
mturk,DEBATE,What do I do if I have egg on my car?
mturk,DEBATE,What does the human body do when it breathes dust?
mturk,DEBATE,What ever happened to Barabbas?
mturk,DEBATE,What evidence is there to support the claim that more education results in higher earnings?
mturk,DEBATE,What happens in the brain when someone experiences an emotion?
mturk,DEBATE,What ia the difference between a notebook & a laptop?
mturk,DEBATE,What qualification do i need to teach first aid?
mturk,DEBATE,When I decide to purchase a new computer what is your suggestions on what brand and why is it better than rest
mturk,DEBATE,Why do liberals suck the life out of everything positive that happens in Iraq?
mturk,DEBATE,Will India became one of the super powers of the world in future?why or why not?
mturk,DEBATE,Will fears of Zika virus negatively impact the Rio Olympics?
mturk,DEBATE,add a friend when they are not online?
mturk,DEBATE,can a refrigerator be stored unplugged if the door is taken of?
mturk,DEBATE,does any one know a quick prayer i can e mail a friend whose daughter is dying?
mturk,DEBATE,have you ever wondered why most bibles are black ?
mturk,DEBATE,iPOD NANO 2nd generation what is the ACTUAL capacity of the 8GB version?
mturk,DEBATE,if manpower stands for 'workforce' then define 'womanpower'?
mturk,DEBATE,if the world is getting smaller why is  postage going up?
mturk,DEBATE,is computer engineering a lucrative career?
mturk,DEBATE,more and more people are turning to drugs?why is this so and what can be done about the problem?
mturk,DEBATE,"pls folks,what is rigor-motis?"
mturk,DEBATE,what could be some reasons why...........?
mturk,DEBATE,what do geckos need?
mturk,DEBATE,what do u about death?
mturk,DEBATE,what has happened?
mturk,DEBATE,who know what the seven deadly sins are and why are they?
mturk,DEBATE,why do hillbillies plague the world?
mturk,DEBATE,why do people think all teenagers r bad?
unsupervised,DEBATE,#timesup: Should individuals credibly accused of sexual assault or harassment be fired from positions of authority?
unsupervised,DEBATE,2020 Predictions: Who Has The Best Shot at Winning 2020?
unsupervised,DEBATE,"Affirmative Action: Useful Once, Outdated Today?"
unsupervised,DEBATE,"Are ""Killer Drones"" an acceptable weapon in war?"
unsupervised,DEBATE,Are Bitcoin and Anonymous Payments Beneficial for the World?
unsupervised,DEBATE,Are GMO's The Solution To Limited Means?
unsupervised,DEBATE,Are GMOs good for the society?
unsupervised,DEBATE,Are Gifted Education Programs in Public Schools Detrimental?
unsupervised,DEBATE,Are Homeopathic Remedies Fraudulent?
unsupervised,DEBATE,Are Humans fundamentally different from other animals?
unsupervised,DEBATE,Are K-12 teachers already paid enough in America?
unsupervised,DEBATE,Are Leggings Pants?
unsupervised,DEBATE,Are Memes and Jokes about COVID 19 beneficial and promising?
unsupervised,DEBATE,Are Men the Biggest Problem Mankind Faces?
unsupervised,DEBATE,Are Purity Pledges Harmful?
unsupervised,DEBATE,Are Real Estate brokers really necessary?
unsupervised,DEBATE,Are The Rolling Stones Better Than The Beatles?
unsupervised,DEBATE,Are Unions a Good Thing?
unsupervised,DEBATE,Are We Morally Compelled to Help Others in Need?
unsupervised,DEBATE,Are all humans born with a blank slate at birth?
unsupervised,DEBATE,Are all our actions selfish to some degree?
unsupervised,DEBATE,Are battery electric vehicles better than hydrogen fuel cell vehicles?
unsupervised,DEBATE,Are big corporations beneficial to society?
unsupervised,DEBATE,Are bots spoiling our online experiences?
unsupervised,DEBATE,Are coding bootcamps useful to advance a programming career?
unsupervised,DEBATE,Are constructed languages useful and do we need more of them?
unsupervised,DEBATE,Are crop circles created by extraterrestials?
unsupervised,DEBATE,"Are decentralized marketplaces, like Open Bazaar, antithetical to privacy preserving trustless marketplaces?"
unsupervised,DEBATE,Are democracies more peaceful than other political systems?
unsupervised,DEBATE,Are free markets better for humans than regulated markets?
unsupervised,DEBATE,Are gender and sex the same thing?
unsupervised,DEBATE,Are identity politics detrimental to society?
unsupervised,DEBATE,"Are languages like Python a better alternative to spreadsheets like MS Excel, for data analysis?"
unsupervised,DEBATE,Are modern democracies destined to fail due to their inherent weaknesses?
unsupervised,DEBATE,Are moral properties natural properties?
unsupervised,DEBATE,Are motivational speakers frauds?
unsupervised,DEBATE,Are museums better off without adopting new technologies?
unsupervised,DEBATE,Are people who do immoral things immoral?
unsupervised,DEBATE,Are the Milankovitch Cycles major causes of climate change?
unsupervised,DEBATE,Are the Rules of the US Criminal Justice System Fair?
unsupervised,DEBATE,Are the meetings of Donald Trump with Kim Jong-un a good idea?
unsupervised,DEBATE,Are the rich or the poor more responsible for environmental damages?
unsupervised,DEBATE,Are there any working business models for journalism?
unsupervised,DEBATE,Are there only two sexes and only two genders?
unsupervised,DEBATE,Are tracking apps a legitimate and proportional means to fight COVID-19?
unsupervised,DEBATE,Are treatments for cancer too expensive in the United States?
unsupervised,DEBATE,Are video games art?
unsupervised,DEBATE,Are video games currently more enjoyable than board games?
unsupervised,DEBATE,Are we becoming increasingly more intelligent than previous generations?
unsupervised,DEBATE,Are women better than men?
unsupervised,DEBATE,Artificial Intelligence (AI): Should an artificial general intelligence be created?
unsupervised,DEBATE,Autonomous Killing Machines: The Future of Warfare?
unsupervised,DEBATE,Best Marvel/Netflix show?
unsupervised,DEBATE,Biden vs. Sanders: Who Would Win In 2020 Election?
unsupervised,DEBATE,Can Climate Change Be Reversed?
unsupervised,DEBATE,Can God's existence be understood by rationality?
unsupervised,DEBATE,Can Kleros (PNK) provide an effective platform for arbitration and dispute resolution?
unsupervised,DEBATE,Can Religious Faith and Science Co-exist?
unsupervised,DEBATE,Can Virtual Travel Replace Real Vacationing?
unsupervised,DEBATE,Can affection/intimacy (by touching your partner) be learned?
unsupervised,DEBATE,Can educational games be used as a tool for educational success?
unsupervised,DEBATE,Can extreme poverty be eradicated through capitalism?
unsupervised,DEBATE,Can modern society achieve direct democracy?
unsupervised,DEBATE,Can solipsism be discussed?
unsupervised,DEBATE,Can teaching textbooks be replaced by online resources?
unsupervised,DEBATE,"Can we be ""bad"" at learning languages?"
unsupervised,DEBATE,Can we emerge from neotribalism to become a mass society?
unsupervised,DEBATE,Can you build a fully mobile self-contained and self-sustained settlement?
unsupervised,DEBATE,Capital Punishment in the US: Inhumane or Just?
unsupervised,DEBATE,Children Voting: Should the Minimum Voting Age be Abolished?
unsupervised,DEBATE,Compulsory Voting: Should Voting be Mandatory?
unsupervised,DEBATE,Could Hitler have won World War 2?
unsupervised,DEBATE,Could adopting a discussion platform like Kialo help improve the quality of Ethereum's political + governance debates?
unsupervised,DEBATE,Cruel and Unusual: Should Capital Punishment Hurt?
unsupervised,DEBATE,Did Europeans Have a Better Quality of Life in the 1990s than in the 1890s?
unsupervised,DEBATE,Did Frank D. Roosevelt save capitalism?
unsupervised,DEBATE,Did Thanos Do Anything Wrong?
unsupervised,DEBATE,Did US Involvement Dramatically Influence the formation of Modern Europe?
unsupervised,DEBATE,Did the Exodus Really Happen?
unsupervised,DEBATE,Did the Mediterranean Sea desiccate 5.5 million years ago?
unsupervised,DEBATE,Did the captain of Sea Watch 3 decided right to enter the harbour of Lampedusa despite the ban?
unsupervised,DEBATE,Did the finale of Game of Thrones provide a satisfying conclusion for the series?
unsupervised,DEBATE,Do Aliens Exist?
unsupervised,DEBATE,"Do BioWare's Mass Effect and Dragon Age titles promote social rights in regards to race, gender, and sexuality?"
unsupervised,DEBATE,Do Bollywood movies normalise stalking in the name of romance?
unsupervised,DEBATE,Do H1B help the economy?
unsupervised,DEBATE,Do Parents Have an Obligation to Genetically Enhance Their Babies?
unsupervised,DEBATE,Do Viruses meet the Requirements for Life?
unsupervised,DEBATE,Do angels and demons exist?
unsupervised,DEBATE,Do covalent bonds have preferable qualities for human survival?
unsupervised,DEBATE,Do electronic devices help or hurt children's development?
unsupervised,DEBATE,Do fair trade products cause more good than harm?
unsupervised,DEBATE,Do gun control laws reduce crime?
unsupervised,DEBATE,Do more life challenges make a person resilient?
unsupervised,DEBATE,Do video games have a positive effect on society?
unsupervised,DEBATE,Do we exist within a Simulated Reality?
unsupervised,DEBATE,Do we need a vaccine to fight Covid-19?
unsupervised,DEBATE,Do we need more and stronger international institutions?
unsupervised,DEBATE,Do we need nuclear power for sustainable energy production?
unsupervised,DEBATE,Do wind farms have more advantages than disadvantages?
unsupervised,DEBATE,Do you have a civic morale obligation to at least challenge people who believe in conspiracy theories?
unsupervised,DEBATE,Do you have a right to not wear a mask?
unsupervised,DEBATE,Doctor Who: Is The Doctor Genderless?
unsupervised,DEBATE,Does A College Degree Guarantee A Job?
unsupervised,DEBATE,Does Crime Control (Speedy Justice) trump Due Process?
unsupervised,DEBATE,Does Feminism Empower Both Women And Men?
unsupervised,DEBATE,Does Feminism Strive For Equality?
unsupervised,DEBATE,Does Gender Stereotyping Children Need To Stop?
unsupervised,DEBATE,Does God Allow Evil: Is the Existence of God Compatible with the Existence of Evil?
unsupervised,DEBATE,Does Hell Exist?
unsupervised,DEBATE,Does Islam Need A Reform To Be Compatible With The Modern World?
unsupervised,DEBATE,Does Marriage Equality Mean Eliminating Marriage Licenses And Tax Deductions?
unsupervised,DEBATE,Does Mixed Martial Arts (MMA) glorify violence?
unsupervised,DEBATE,Does Morality Precede Religion?
unsupervised,DEBATE,Does Postmodernism oppose progress?
unsupervised,DEBATE,Does Science Leave Room for Free Will?
unsupervised,DEBATE,Does Social Media Exacerbate Eating Disorders?
unsupervised,DEBATE,Does Wealth Create Generosity And Poverty Selfishness?
unsupervised,DEBATE,Does altruism exist?
unsupervised,DEBATE,Does mainstream feminism exploit women of colour?
unsupervised,DEBATE,Does modern advertising do more harm than good?
unsupervised,DEBATE,Does objective logic exist?
unsupervised,DEBATE,Does palm oil have more benefits than harms?
unsupervised,DEBATE,Does pineapple belong on pizza?
unsupervised,DEBATE,"Does professional sport provide a framework that assists social change, and therefore is sport a social movement?"
unsupervised,DEBATE,Does reducing company tax rates result in a net positive benefit to society?
unsupervised,DEBATE,Does science justify atheism?
unsupervised,DEBATE,Does the Bible support the conclusion that 'homosexuality' is a sin against God?
unsupervised,DEBATE,Does the US need to fix its Patenting System?
unsupervised,DEBATE,Does the separation of dialogue and voting works with the new protocol?
unsupervised,DEBATE,Does trickle-down economics do more harm than good?
unsupervised,DEBATE,Edible Landscapes: Should Lawns Be Replaced?
unsupervised,DEBATE,Feminism & sex for fun: does hedonistic sexuality benefit feminism?
unsupervised,DEBATE,Free Speech on the Internet: Should Internet Companies Deny Service to White Supremacists?
unsupervised,DEBATE,Free Will or Determinism: Do We Have Free Will?
unsupervised,DEBATE,Gaming is Good: Are Tabletop RPGs good because they exercise creativity and problem solving skills?
unsupervised,DEBATE,Has Justin Trudeau failed to be a strong Prime Minister of Canada?
unsupervised,DEBATE,Has Xi Jinping been good for China?
unsupervised,DEBATE,How Much Say Should a Father Have With Abortion?
unsupervised,DEBATE,How Should Physician-Assisted Death be Handled?
unsupervised,DEBATE,How can the food industry stop producing single-use plastic bottles?
unsupervised,DEBATE,How can we best survive a pandemic?
unsupervised,DEBATE,How should Europe deal with refugees from Africa and the Near/Middle East?
unsupervised,DEBATE,How should one pronounce CentOS?
unsupervised,DEBATE,How should you smoke out of a bong?
unsupervised,DEBATE,How will VR develop most?
unsupervised,DEBATE,"If God is Real, Should we File a Class Action Lawsuit Against It?"
unsupervised,DEBATE,"If the use of animal labor is ethically fine, is sex with animals ethical, too?"
unsupervised,DEBATE,"If we could bring back the Neanderthals, should we?"
unsupervised,DEBATE,In Case Aliens Exist: Should We Say Hello?
unsupervised,DEBATE,Is 'post crisis' a good time to invest in emerging markets?
unsupervised,DEBATE,Is A Hot Dog A Sandwich?
unsupervised,DEBATE,Is A United Ireland The Best Political Structure for Northern Ireland?
unsupervised,DEBATE,Is Addressing Psychosocial Factors Essential to Reducing or Preventing School Shootings?
unsupervised,DEBATE,Is Adultery Ethical?
unsupervised,DEBATE,Is Android better than iOS?
unsupervised,DEBATE,Is Antifa good or bad?
unsupervised,DEBATE,Is Artificial General Intelligence (AGI) even possible?
unsupervised,DEBATE,Is Attachment Parenting the Best Way to Raise a Child?
unsupervised,DEBATE,Is BDSM Abusive?
unsupervised,DEBATE,Is Bitcoin (and/or other Cryptocurrencies) Superior to Fiat Currency?
unsupervised,DEBATE,Is Bitcoin's Worth Entirely Speculative?
unsupervised,DEBATE,Is Caffeine Addiction An Unhandled Problem?
unsupervised,DEBATE,Is Capitalism Bad?
unsupervised,DEBATE,Is Capitalism the most Moral System?
unsupervised,DEBATE,Is Christian Domestic Discipline right and is it what the bible really suggests?
unsupervised,DEBATE,Is Christianity Compatible With Feminism?
unsupervised,DEBATE,Is Classic World of Warcraft better than Retail WoW?
unsupervised,DEBATE,Is Cloning Animals Ethical?
unsupervised,DEBATE,Is Conflict Between Groups Inevitable?
unsupervised,DEBATE,Is Creatine for Bodybuilding Overrated?
unsupervised,DEBATE,Is Creativity A Vital Job Skill?
unsupervised,DEBATE,Is Daenerys Targaryen the Prince/Princess that was Promised?
unsupervised,DEBATE,Is Darwinian Evolution Philosophy or Science?
unsupervised,DEBATE,Is Female Education The Most Important Objective to Improve Quality of Life?
unsupervised,DEBATE,Is GDPR beneficial?
unsupervised,DEBATE,Is Gender a Social Construct?
unsupervised,DEBATE,Is Gillette's toxic masculinity ad good?
unsupervised,DEBATE,Is Goodfellas better than Casino?
unsupervised,DEBATE,Is Google Firebase the best app development platform?
unsupervised,DEBATE,Is Having Children Selfish?
unsupervised,DEBATE,Is Idealism More Important Than Materialism?
unsupervised,DEBATE,Is It Ever Right to Take Away Someone's Choice?
unsupervised,DEBATE,Is It More Ethical to Eat a Hamburger than a Shrimp Salad?
unsupervised,DEBATE,Is Jesus the Messiah?
unsupervised,DEBATE,"Is Journalism and ""The Fourth Estate"" Dead?"
unsupervised,DEBATE,Is Ketchup a child's condiment?
unsupervised,DEBATE,Is Lab-Grown Meat a suitable replacement for Factory Farming?
unsupervised,DEBATE,Is Lebron James a better player than Kobe Bryant?
unsupervised,DEBATE,Is Lebron James better than Michael Jordan?
unsupervised,DEBATE,Is Light Rail better than Heavy Rail (or Metro)?
unsupervised,DEBATE,Is Linux the best operating system?
unsupervised,DEBATE,Is Love Positive and Necessary for All Humans?
unsupervised,DEBATE,Is Macbeth a Tragic Hero?
unsupervised,DEBATE,Is Mass Immigration into Europe a Positive Thing for Indigenous Europeans?
unsupervised,DEBATE,Is Media That Openly Declares Bias Better Than Media Claiming To Be Neutral?
unsupervised,DEBATE,Is Michelle Carter criminally responsible for Conrad Roy’s Death?
unsupervised,DEBATE,Is Moana OK to show in US schools given the religious depictions?
unsupervised,DEBATE,Is Morality Objective?
unsupervised,DEBATE,Is NATO obsolete?
unsupervised,DEBATE,Is Narendra Modi good for India?
unsupervised,DEBATE,Is OKC police officer Daniel Holtzclaw REALLY guilty of the crimes he was convicted of?
unsupervised,DEBATE,Is Objectivity Possible?
unsupervised,DEBATE,Is Opera the best internet browser?
unsupervised,DEBATE,Is Opposite Sex Parenting Preferable to Same-Sex Parenting?
unsupervised,DEBATE,Is Organic Farming Better Than Conventional Farming?
unsupervised,DEBATE,Is Platonism true?
unsupervised,DEBATE,Is Popular Protest Productive?
unsupervised,DEBATE,Is Porn Beneficial?
unsupervised,DEBATE,Is Pornography Art?
unsupervised,DEBATE,Is Preferential Voting the most effective system for ensuring fairer election outcomes?
unsupervised,DEBATE,Is Prof. Jordan B. Peterson Christian?
unsupervised,DEBATE,Is Rahul Gandhi mature enough to handle a position of responsibility like being a prime minister?
unsupervised,DEBATE,Is Religious Indoctrination of Children Abuse?
unsupervised,DEBATE,Is Sex Reassignment Surgery the Best Option for Transgender People?
unsupervised,DEBATE,Is Space Exploration a Waste of Money?
unsupervised,DEBATE,Is Spanking a Child Abusive?
unsupervised,DEBATE,Is Star Citizen a scam?
unsupervised,DEBATE,Is Structural Adjustment The Wrong Policy?
unsupervised,DEBATE,Is Taiwan an independent nation?
unsupervised,DEBATE,"Is Taylor Swift's video ""The Man"" a proper representation of men in today's society?"
unsupervised,DEBATE,Is The Internet a Good Source of Medical Information?
unsupervised,DEBATE,Is The Sanders' Tax is A Good Thing?
unsupervised,DEBATE,Is The Source of All Suffering in Humans Their Attachments?
unsupervised,DEBATE,Is There A Limit To Free Speech?
unsupervised,DEBATE,Is Tiktok better than vine?
unsupervised,DEBATE,Is Trump a good president?
unsupervised,DEBATE,Is Undocumented Immigration Into the United States a Problem?
unsupervised,DEBATE,Is Vegetarianism A Healthy or Unhealthy Diet To Have?
unsupervised,DEBATE,Is Vigilantism Ever Permissible?
unsupervised,DEBATE,Is Yoga is Good for Writers?
unsupervised,DEBATE,Is Youtube Enforcing Censorship Through The Demonetization Policy?
unsupervised,DEBATE,Is a Human that Eats of the Minotaur a Cannibal?
unsupervised,DEBATE,"Is a Humanist an 'empty pot' , lacking in something?"
unsupervised,DEBATE,Is a free press necessary for democracy?
unsupervised,DEBATE,Is a gas tax the best way to fund infrastructure in the US (specifically MI)?
unsupervised,DEBATE,Is a rising China good for the world?
unsupervised,DEBATE,Is anarchy the only ethical system of society?
unsupervised,DEBATE,Is banning books inherently wrong?
unsupervised,DEBATE,Is capitalism good?
unsupervised,DEBATE,Is carpooling the way of the future?
unsupervised,DEBATE,Is chivalry sexist?
unsupervised,DEBATE,Is climate crisis inevitable?
unsupervised,DEBATE,Is computer science a failing discipline?
unsupervised,DEBATE,Is deliberately not preventing someone's death ethically equivalent to killing them?
unsupervised,DEBATE,Is digitalization good for healthcare?
unsupervised,DEBATE,Is eating meat ethically wrong?
unsupervised,DEBATE,Is ecotourism sustainable?
unsupervised,DEBATE,Is gender dysphoria a prerequisite for calling yourself transgender?
unsupervised,DEBATE,Is genuine belief unnecessary in worship?
unsupervised,DEBATE,Is globalisation good or bad?
unsupervised,DEBATE,Is having children selfish and irresponsible?
unsupervised,DEBATE,Is human cognitive and intellectual superiority an unproven assumption?
unsupervised,DEBATE,Is informed consent the determining factor of morality?
unsupervised,DEBATE,Is it OK to publicly approach a stranger for sex?
unsupervised,DEBATE,Is it OK to use a web development framework without understanding the underlying components?
unsupervised,DEBATE,Is it Time to 'Free the Nipple'? Toplessness and Gender Equality in the US
unsupervised,DEBATE,Is it a good thing that Dungeons & Dragons is the de-facto standard RPG?
unsupervised,DEBATE,Is it acceptable for vegans to give their pets a vegan diet?
